"publish_date","France","Germany","Italy","Spain","United Kingdom"
2020-03-11,222.857142857143,157.142857142857,1092.42857142857,279.857142857143,72.5714285714286
2020-03-12,283.428571428571,186.428571428571,1339,415.714285714286,101.714285714286
2020-03-13,347.428571428571,281.285714285714,1607.85714285714,593.714285714286,151.714285714286
2020-03-14,430.857142857143,339.714285714286,1860.57142857143,825.285714285714,213.571428571429
2020-03-15,534,421.142857142857,2182,1097.14285714286,270.285714285714
2020-03-16,607.285714285714,562.285714285714,2372.14285714286,1346,313.285714285714
2020-03-17,737.571428571429,696.142857142857,2686.85714285714,1623.42857142857,368.285714285714
2020-03-18,836,837.142857142857,3051,1996.71428571429,434.428571428571
2020-03-19,963.142857142857,947.285714285714,3321.57142857143,2489,507.285714285714
2020-03-20,1143.14285714286,1681.28571428571,3703.14285714286,2980.28571428571,592.571428571429
2020-03-21,1262,2160.71428571429,4194.42857142857,3561.42857142857,674.142857142857
2020-03-22,1408,2524,4631.57142857143,4183,785.142857142857
2020-03-23,1494.57142857143,2848,5022.57142857143,4720.42857142857,904.714285714286
2020-03-24,1862.85714285714,3314.28571428571,5135.28571428571,5150.57142857143,1038.42857142857
2020-03-25,2058.28571428571,3485.42857142857,5381.42857142857,5857,1285.14285714286
2020-03-26,2273.71428571429,4044.28571428571,5524.71428571429,6606.14285714286,1514.57142857143
2020-03-27,2562.28571428571,4021.42857142857,5643.42857142857,7371.85714285714,1755.85714285714
2020-03-28,2869.85714285714,4342.14285714286,5639.57142857143,7976.85714285714,2046.14285714286
2020-03-29,3264.71428571429,4440.57142857143,5556.28571428571,8345.14285714286,2323.57142857143
2020-03-30,3402.14285714286,4646.28571428571,5507.28571428571,8531,2555.57142857143
2020-03-31,3482.85714285714,4671.57142857143,5401.71428571429,8497.85714285714,2767
2020-04-01,4207.42857142857,5116,5230.85714285714,8469.57142857143,3043.42857142857
2020-04-02,4477.28571428571,5287.71428571429,5169.71428571429,8212.57142857143,3349
2020-04-03,4220.14285714286,5344,4957.57142857143,7771.57142857143,3666.28571428571
