"publish_date","France","Germany","Italy","Spain","United Kingdom"
2020-03-27,189,30,679.714285714286,577.857142857143,103.142857142857
2020-03-28,220.285714285714,40,729.142857142857,656.285714285714,139.714285714286
2020-03-29,249.857142857143,46,742.285714285714,724.714285714286,173.142857142857
2020-03-30,275.428571428571,51.5714285714286,757.857142857143,772.428571428571,198.285714285714
2020-03-31,308.142857142857,65.2857142857143,787.714285714286,809.571428571429,240.857142857143
2020-04-01,344.857142857143,83.2857142857143,801.428571428571,842,277.285714285714
2020-04-02,384.142857142857,96.2857142857143,807.428571428571,867.142857142857,346
2020-04-03,399.285714285714,109.142857142857,821.714285714286,877.285714285714,414
2020-04-04,643,119,792.142857142857,875.428571428571,478
2020-04-05,747.857142857143,136.142857142857,762.714285714286,857.428571428571,544.285714285714
2020-04-06,780.285714285714,139.857142857143,729.714285714286,843.142857142857,599.571428571429
2020-04-07,839.857142857143,146.285714285714,704.857142857143,834.428571428571,627.142857142857
2020-04-08,971.285714285714,161.285714285714,671.285714285714,813.428571428571,727.428571428571
2020-04-09,976.285714285714,176.428571428571,644.571428571429,790.142857142857,778.571428571429
2020-04-10,1100.28571428571,193.714285714286,623.428571428571,769.285714285714,844.142857142857
2020-04-11,955.142857142857,198,595.714285714286,742,899.285714285714
2020-04-12,895.428571428571,190.142857142857,586.857142857143,726.285714285714,911.714285714286
2020-04-13,901.428571428571,195,573.142857142857,710.285714285714,920
2020-04-14,864.285714285714,194.571428571429,562.857142857143,680.857142857143,942.428571428571
2020-04-15,770.714285714286,199,562.857142857143,655.285714285714,938.285714285714
2020-04-16,899,208.857142857143,568.285714285714,636.857142857143,916.857142857143
2020-04-17,815.285714285714,213.571428571429,555.857142857143,608.714285714286,905.428571428571
2020-04-18,782.857142857143,223.714285714286,556.571428571429,583,875.571428571429
2020-04-19,783,231.571428571429,536.714285714286,558.857142857143,913
2020-04-20,759.428571428571,229.285714285714,537,531.285714285714,880.857142857143
2020-04-21,755.428571428571,232.714285714286,521.285714285714,510.857142857143,858.857142857143
2020-04-22,722.428571428571,232.142857142857,511.285714285714,482.285714285714,880
2020-04-23,594.714285714286,217.857142857143,491.142857142857,456.571428571429,875.285714285714
2020-04-24,560.857142857143,207.571428571429,482.428571428571,426.857142857143,824.714285714286
2020-04-25,507.857142857143,198.571428571429,460.285714285714,404.571428571429,838.571428571429
2020-04-26,469.571428571429,192.285714285714,451,379.285714285714,797.142857142857
2020-04-27,447.714285714286,192.285714285714,426.285714285714,359.285714285714,787.428571428571
2020-04-28,432.428571428571,187.857142857143,409,340.857142857143,751.714285714286
2020-04-29,408.857142857143,176.571428571429,387.285714285714,322.428571428571,715.285714285714
2020-04-30,392.142857142857,170.571428571429,371,298.428571428571,704.142857142857
2020-05-01,359.571428571429,165.714285714286,345.428571428571,283,697.285714285714
2020-05-02,335.142857142857,153.571428571429,323.857142857143,267.571428571429,652.714285714286
2020-05-03,306,144.142857142857,332.285714285714,245.571428571429,619.714285714286
2020-05-04,290.714285714286,134.571428571429,320,232.285714285714,603.857142857143
2020-05-05,272,131.142857142857,300.285714285714,221.571428571429,597
2020-05-06,266.285714285714,125.857142857143,279.428571428571,211.285714285714,562.285714285714
2020-05-07,245,118.714285714286,286,200.428571428571,544.857142857143
2020-05-08,229.142857142857,112.142857142857,284.428571428571,188.571428571429,519.714285714286
2020-05-09,232.571428571429,113.428571428571,280.714285714286,180.428571428571,502.714285714286
2020-05-10,220.571428571429,106.571428571429,240.714285714286,176.142857142857,458.571428571429
2020-05-11,211.285714285714,103.571428571429,239.428571428571,165.142857142857,453.428571428571
2020-05-12,205,100.285714285714,237.142857142857,152.714285714286,441.285714285714
2020-05-13,208.142857142857,91.1428571428571,228,143.571428571429,425.285714285714
2020-05-14,180,86.2857142857143,203.142857142857,133.571428571429,396.714285714286
2020-05-15,204.571428571429,79.7142857142857,201.428571428571,124.142857142857,381.571428571429
2020-05-16,188.571428571429,73.1428571428571,201.285714285714,112.714285714286,348.857142857143
2020-05-17,189.714285714286,74.1428571428571,195.428571428571,103,368.285714285714
2020-05-18,189.142857142857,74,192.571428571429,94.1428571428571,346.857142857143
2020-05-19,178.285714285714,67.7142857142857,181.142857142857,87.1428571428571,341
2020-05-20,146.285714285714,65.1428571428571,179.714285714286,80,324.714285714286
2020-05-21,150.285714285714,60.5714285714286,174.857142857143,73.4285714285714,307.714285714286
2020-05-22,112.285714285714,50,159.714285714286,69,296.428571428571
2020-05-23,104.285714285714,47.8571428571429,143.714285714286,66.7142857142857,288
2020-05-24,97.8571428571429,47.5714285714286,138.857142857143,65.8571428571429,260.714285714286
2020-05-25,93.2857142857143,46,125.285714285714,65.1428571428571,305.285714285714
2020-05-26,75.8571428571429,42.1428571428571,124.285714285714,64.2857142857143,299.285714285714
2020-05-27,72.1428571428571,37,112.285714285714,63.4285714285714,246.571428571429
2020-05-28,66,37.7142857142857,106,61.8571428571429,260
2020-05-29,63.4285714285714,39.4285714285714,93.7142857142857,60.2857142857143,270
2020-05-30,60.2857142857143,39,87.5714285714286,56,267.571428571429
2020-05-31,62.2857142857143,36.1428571428571,86.4285714285714,51.8571428571429,258.142857142857
2020-06-01,61.5714285714286,36.2857142857143,90,49.7142857142857,212.571428571429
2020-06-02,56.7142857142857,31.4285714285714,85.4285714285714,47.4285714285714,210
2020-06-03,58,28.8571428571429,82.1428571428571,42.8571428571429,226.857142857143
2020-06-04,60.1428571428571,24.2857142857143,75.5714285714286,41.5714285714286,202.857142857143
2020-06-05,57,23.2857142857143,78.1428571428571,40.5714285714286,172.428571428571
2020-06-06,56.1428571428571,22.4285714285714,77.8571428571429,41.2857142857143,170.142857142857
2020-06-07,52.4285714285714,24,72.2857142857143,38.4285714285714,168.571428571429
2020-06-08,50.1428571428571,23.2857142857143,69.1428571428571,36.5714285714286,167.714285714286
2020-06-09,53.2857142857143,27,69.8571428571429,33.8571428571429,162.142857142857
2020-06-10,50.1428571428571,25.4285714285714,73.2857142857143,33.1428571428571,154.428571428571
2020-06-11,41.8571428571429,24.8571428571429,73.2857142857143,28.2857142857143,141.571428571429
2020-06-12,39.5714285714286,21.4285714285714,68.2857142857143,27,133.857142857143
2020-06-13,37,19.2857142857143,64.1428571428571,24,115.714285714286
2020-06-14,35.8571428571429,17,65,23.4285714285714,110.571428571429
2020-06-15,35.1428571428571,16.7142857142857,63.7142857142857,22.1428571428571,106.714285714286
2020-06-16,32,12.7142857142857,58.1428571428571,21.8571428571429,104.142857142857
2020-06-17,35.2857142857143,14.4285714285714,51.7142857142857,20.5714285714286,93.4285714285714
2020-06-18,36,14.4285714285714,47.7142857142857,20.4285714285714,85.7142857142857
