"publish_date","Central Asia","Eastern Asia","Eastern Europe","Latin America and the Caribbean","Northern Africa","Northern America","Oceania","Others","South-eastern Asia","Southern Asia","Sub-Saharan Africa","West Europe","Western Asia"
2020-09-11,16.2857142857143,15.1428571428571,228.285714285714,2729.42857142857,74,730.714285714286,17.5714285714286,5.28571428571429,155.857142857143,1117.28571428571,168.571428571429,155.714285714286,215.571428571429
2020-09-12,17,14.4285714285714,229.857142857143,2797.14285714286,72.8571428571429,731.714285714286,10.1428571428571,5.57142857142857,155.714285714286,1299.42857142857,145.857142857143,171,210.428571428571
2020-09-13,14.2857142857143,16,230.428571428571,2807.71428571429,71.4285714285714,738.285714285714,9.42857142857143,5.28571428571429,174.285714285714,1318.28571428571,136,174,205.571428571429
2020-09-14,14.1428571428571,15.7142857142857,231.142857142857,2834,69.8571428571429,728.285714285714,10,5.42857142857143,172.857142857143,1330,122,181.142857142857,207.571428571429
2020-09-15,14,14.7142857142857,236.428571428571,1999,66.5714285714286,734.571428571429,9.28571428571429,5.42857142857143,210.714285714286,1322.57142857143,112.285714285714,189.428571428571,209.857142857143
2020-09-16,13.8571428571429,13.4285714285714,244,2004.42857142857,72.8571428571429,763.857142857143,8.57142857142857,5.28571428571429,215.571428571429,1351,123.571428571429,197.285714285714,213.428571428571
2020-09-17,13.7142857142857,13.7142857142857,250.285714285714,2087.14285714286,74.1428571428571,837.285714285714,8,5.28571428571429,220.571428571429,1343.28571428571,117.428571428571,208.571428571429,217.857142857143
2020-09-18,13.4285714285714,14.2857142857143,255,1925.28571428571,74.2857142857143,852.428571428571,7.85714285714286,4.71428571428571,218.857142857143,1524.14285714286,113.428571428571,223,218.142857142857
2020-09-19,13.2857142857143,14.1428571428571,260.285714285714,1875.14285714286,76.7142857142857,816.428571428571,7.42857142857143,4.42857142857143,225.285714285714,1366.57142857143,108,243.571428571429,219.714285714286
2020-09-20,12.2857142857143,12.7142857142857,263.571428571429,1920.85714285714,75.8571428571429,810.714285714286,7.42857142857143,4,214.857142857143,1184.71428571429,111.428571428571,252.857142857143,237.142857142857
2020-09-21,12.2857142857143,11.8571428571429,264.428571428571,1911.28571428571,80.5714285714286,789,7,3.14285714285714,216.571428571429,1376.85714285714,109.714285714286,261.285714285714,231.857142857143
2020-09-22,12.1428571428571,11.4285714285714,266.428571428571,1841.14285714286,82,755.714285714286,6.57142857142857,2.71428571428571,164.571428571429,1381,107,267,233.428571428571
2020-09-23,11.7142857142857,10.4285714285714,264.857142857143,1892.28571428571,75.8571428571429,765.142857142857,7.14285714285714,4.71428571428571,188.857142857143,1352.71428571429,101.285714285714,276.142857142857,231.142857142857
2020-09-24,11.2857142857143,10,269.428571428571,1800.71428571429,71.1428571428571,744.571428571429,6.71428571428571,4.28571428571429,169.428571428571,1381.42857142857,106.571428571429,283.714285714286,231.571428571429
2020-09-25,10.8571428571429,10,271.285714285714,1982,73.8571428571429,733.857142857143,5.85714285714286,3.85714285714286,189.285714285714,1351.28571428571,107,289.857142857143,219.571428571429
2020-09-26,10.2857142857143,9.71428571428571,279.857142857143,2049.28571428571,76.5714285714286,615.571428571429,6.42857142857143,3.42857142857143,193,1336.85714285714,93.5714285714286,294.428571428571,230.714285714286
2020-09-27,8.42857142857143,9.28571428571429,290.142857142857,1989.85714285714,77.7142857142857,726.571428571429,5.71428571428571,3.71428571428571,177.714285714286,1523.14285714286,97,304.857142857143,229.285714285714
